시군명,설립구분명,시설명,전화번호,팩스번호,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도
고양시,공립,성석초등학교병설유치원,031-977-2378,031-977-1321,경기도 고양시 일산동구 문봉동 203-6번지 성석초등학교 병설유치원,경기도 고양시 일산동구 문봉길 110,10257,37.7070094691,126.8124237104
고양시,공립,성저초등학교병설유치원,031-919-3802,031-915-0215,경기도 고양시 일산서구 대화동 2006번지 성저초등학교,경기도 고양시 일산서구 성저로 92,10369,37.6848787518,126.7571567871
고양시,공립,송포초등학교병설유치원,031-923-0056,031-923-8609,경기도 고양시 일산서구 가좌동 355-1번지 송포초등학교,경기도 고양시 일산서구 송산로 379,10210,37.6855998424,126.7210464202
고양시,공립,신능초등학교병설유치원,031-972-5227,031-973-0087,경기도 고양시 덕양구 행신동 1005번지 신능초등학교,경기도 고양시 덕양구 충장로123번길 37,10513,37.6237169033,126.8312021884
고양시,공립,아람초등학교병설유치원,031-979-5424,031-979-5413,경기도 고양시 덕양구 행신동 1069번지 아람초등학교,경기도 고양시 덕양구 서정마을로 36,10491,37.6192203119,126.8503435286
고양시,공립,양일초등학교병설유치원,031-962-1493,031-967-1596,경기도 고양시 일산동구 식사동 1477번지,경기도 고양시 일산동구 위시티로 151,10317,37.6851267317,126.8134319716
고양시,공립,원당초등학교병설유치원,031-969-6667,031-969-6669,경기도 고양시 덕양구 주교동 313-8번지 원당초등학교,경기도 고양시 덕양구 마상로107번길 13,10298,37.6620228236,126.8351486724
고양시,공립,율동초등학교병설유치원,031-913-0390,031-913-0385,경기도 고양시 일산동구 정발산동 1117번지 율동초등학교 병설유치원,경기도 고양시 일산동구 산두로 223,10357,37.6752100406,126.7790998363
고양시,사립,큰솔유치원,031-965-1870,031-965-0141,경기도 고양시 일산동구 산황동 636-2번지,경기도 고양시 일산동구 산황로 178-74,10453,37.6516359362,126.8067633670
고양시,사립,탄현유치원,031-915-6332,031-915-6334,경기도 고양시 일산서구 탄현동 1479번지 탄현마을,,10240,37.6965150415,126.7684002514
고양시,사립,푸르니유치원,031-922-2214,031-922-2352,경기도 고양시 일산동구 정발산동 699번지 푸르니일산유치원,경기도 고양시 일산동구 무궁화로93번길 26,10362,37.6672420655,126.7726293204
고양시,사립,푸른하늘유치원,031-977-0155,031-977-0158,경기도 고양시 일산동구 중산동 1556번지 중산마을,,10336,37.6950151548,126.7801288069
고양시,사립,한나래유치원,031-929-9510,031-929-9508,경기도 고양시 일산서구 덕이동 329번지 거룩한빛 광성교회 교육관 가동,경기도 고양시 일산서구 하이파크로 161,10231,37.7036200086,126.7577639715
고양시,사립,한솔유치원,031-903-5335,031-903-5336,경기도 고양시 일산동구 백석동 1186번지 백송마을,,10419,37.6506893094,126.7907883123
고양시,사립,한울유치원,031-964-6705,031-969-2089,경기도 고양시 덕양구 관산동 113-3번지 한울유치원,경기도 고양시 덕양구 통일로770번길 58,10286,37.6902711249,126.8653451751
고양시,사립,해달별유치원,031-978-6669,031-978-6668,경기도 고양시 덕양구 강매동 113번지,경기도 고양시 덕양구 강매로 229,10441,37.6077509183,126.8435379295
고양시,사립,햇빛유치원,031-905-0363,031-905-8034,경기도 고양시 일산동구 마두동 739번지 백마마을2단지아파트,,10416,37.6539913576,126.7882971929
고양시,사립,호수유치원,031-970-2560,031-973-3273,경기도 고양시 덕양구 행신동 702번지 무원마을,,10522,37.6134454063,126.8309313298
고양시,사립,홍익유치원,031-914-0257,031-914-0259,경기도 고양시 일산서구 탄현동 1476번지 탄현마을,,10240,37.6985121991,126.7669085708
고양시,사립,다솜유치원,031-904-2297,031-904-2291,경기도 고양시 일산동구 마두동 796번지 강촌마을,,10415,37.6543794362,126.7789583850
고양시,사립,다진유치원,031-904-2297,031-904-2291,경기도 고양시 일산동구 마두동 796번지 강촌마을7단지아파트,,10415,37.6543794362,126.7789583850
고양시,사립,단비유치원,031-973-1148,031-973-1149,경기도 고양시 덕양구 토당동 873번지 장미아파트,,10515,37.6213308839,126.8261557713
고양시,사립,도담유치원,031-919-7979,031-919-1927,"경기도 고양시 일산서구 탄현동 121번지 큰마을대림,현대아파트",,10239,37.7008508311,126.7649848305
고양시,사립,동산유치원,031-913-2201,031-913-2202,경기도 고양시 일산서구 주엽동 117번지 문촌마을,,10385,37.6689889181,126.7586826528
고양시,사립,드림아이유치원,031-938-2487,031-963-8688,경기도 고양시 덕양구 원흥동 636-2번지,경기도 고양시 덕양구 권율대로 696-9,10558,37.6507399001,126.8762284677
고양시,사립,로뎀유치원,031-971-5533,031-971-5538,경기도 고양시 덕양구 행신동 773번지 무원마을1단지,,10528,37.6172480286,126.8375938940
고양시,사립,명문유치원,031-912-3904,031-924-3905,경기도 고양시 일산서구 주엽동 49번지 강선마을,,10361,37.6714938091,126.7676515646
고양시,사립,무원유치원,031-970-2211,031-970-2210,경기도 고양시 덕양구 행신동 692번지 무원마을,,10521,37.6181928971,126.8304899841
고양시,사립,문촌사랑유치원,031-913-4637,031-913-4638,경기도 고양시 일산서구 주엽동 126번지 문촌마을,,10384,37.6696524319,126.7528545634
고양시,사립,문촌유치원,031-915-7800,031-915-7850,경기도 고양시 일산서구 주엽동 1번지 문촌마을,,10371,37.6779352698,126.7585739832
고양시,사립,바른유치원,031-914-4368,032-232-0002,경기도 고양시 일산서구 일산동 1055번지 후곡마을,,10371,37.6798209875,126.7598827771
고양시,사립,배화유치원,031-974-0880,031-972-9924,경기도 고양시 덕양구 토당동 55-3번지,경기도 고양시 덕양구 토당로104번길 31,10508,37.6243834894,126.8191480871
고양시,사립,별모래유치원,031-964-2249,031-967-6749,경기도 고양시 덕양구 성사동 421-8번지,경기도 고양시 덕양구 마상로 200-1,10465,37.6561064973,126.8438426169
고양시,사립,보보유치원,031-903-3644,031-903-2020,경기도 고양시 일산동구 마두동 717번지 백마마을,,10417,37.6588798588,126.7912069953
고양시,공립,일산은행초등학교병설유치원,031-969-6737,031-969-6738,경기도 고양시 일산동구 식사동 916번지 일산은행초등학교,경기도 고양시 일산동구 은행마을로 70,10304,37.6689880167,126.8064343560
고양시,사립,오늘유치원,031-951-7942,031-951-7942,경기도 고양시 일산서구 대화동 2068번지 오늘유치원,경기도 고양시 일산서구 성저로 62,10368,37.6846017606,126.7539607403
고양시,공립,하늘초등학교병설유치원,031-975-6363,031-975-8974,경기도 고양시 일산동구 중산동 1799번지 하늘초등학교,경기도 고양시 일산동구 하늘마을1로 46,10311,37.6771583619,126.7900441870
고양시,사립,삼성숲유치원,031-969-6565,031-964-2018,경기도 고양시 덕양구 벽제동 363-20번지,경기도 고양시 덕양구 푸른마을로 110-7,10271,37.7152122399,126.9037465070
고양시,사립,코끼리유치원,031-978-0997,031-938-0339,경기도 고양시 덕양구 행신동 219번지,경기도 고양시 덕양구 행신로325번길 20,10493,37.6240789628,126.8453154925
고양시,사립,파랑새유치원,031-913-6683,031-913-6684,경기도 고양시 일산서구 일산동 1058번지 후곡마을,,10375,37.6776588425,126.7643787602
고양시,사립,푸른무지개유치원,031-927-7112,031-970-0955,경기도 고양시 덕양구 토당동 849번지 무지개유치원,경기도 고양시 덕양구 지도로104번길 42,10511,37.6265202325,126.8259848948
고양시,사립,하늘숲유치원,031-932-5950,031-932-9123,경기도 고양시 일산동구 풍동 1290번지 하늘유치원 하늘숲유치원,경기도 고양시 일산동구 숲속마을1로 29-12,10307,37.6639916864,126.7982079866
고양시,사립,한미유치원,031-975-6567,031-975-2111,경기도 고양시 일산서구 일산동 631-1번지,경기도 고양시 일산서구 고양대로 686-8,10353,37.6834577962,126.7717969833
고양시,사립,해나라유치원,031-911-6168,031-911-6169,경기도 고양시 일산서구 일산동 1090번지 후곡마을,,10360,37.6743503492,126.7724600002
고양시,사립,햇님유치원,031-902-9795,031-905-0736,경기도 고양시 일산동구 백석동 1139번지 백송마을,,10418,37.6516030735,126.7929047470
고양시,사립,현대유치원,031-962-8928,031-964-6712,경기도 고양시 덕양구 내유동 436-28번지,경기도 고양시 덕양구 통일로1154번길 16-9,10264,37.7167597022,126.8509263449
고양시,사립,흰돌유치원,031-902-1940,031-902-1946,경기도 고양시 일산동구 백석동 1344번지 흰돌마을,,10448,37.6408829890,126.7837915316
고양시,사립,둥지유치원,031-964-1671,031-964-8472,경기도 고양시 덕양구 화정동 961번지 은빛마을11단지,,10498,37.6355532171,126.8357633257
고양시,사립,리빙스턴유치원,031-964-5309,031-964-5379,경기도 고양시 덕양구 성사동 108-3번지 주님유치원,경기도 고양시 덕양구 도내로 13-40,10481,37.6260837397,126.8488115704
고양시,사립,모심유치원,031-976-6436,031-976-6437,경기도 고양시 일산동구 중산동 1566번지 중산마을,,10337,37.6885967077,126.7782319926
고양시,사립,무지개유치원,031-972-0930,031-972-0930,경기도 고양시 덕양구 행신동 633-11번지,경기도 고양시 덕양구 행신로143번길 44,10517,37.6211675196,126.8314572475
고양시,사립,미래유치원,031-964-2550,031-964-2549,경기도 고양시 덕양구 주교동 621-1번지 정원유치원,경기도 고양시 덕양구 마상로 142,10462,37.6589910262,126.8383173612
고양시,사립,바움유치원,031-966-3069,031-966-3522,경기도 고양시 덕양구 성사동 725-1번지,경기도 고양시 덕양구 호국로742번길 57,10468,37.6525998374,126.8359517695
고양시,사립,별빛유치원,031-971-6630,031-971-6632,경기도 고양시 덕양구 화정동 952번지 별빛마을,,10501,37.6319928585,126.8284869076
고양시,사립,상명유치원,031-974-9888,031-974-4949,경기도 고양시 덕양구 토당동 37-15번지 상명유치원 가동,경기도 고양시 덕양구 능곡로45번길 65,10508,37.6256327441,126.8229851333
고양시,사립,선재유치원,031-931-0144,031-931-0143,경기도 고양시 일산서구 탄현동 1481번지,경기도 고양시 일산서구 홀트로 55,10240,37.6952656349,126.7698781736
고양시,사립,성모유치원,031-975-2279,031-907-4881,경기도 고양시 일산서구 일산동 600-47번지,경기도 고양시 일산서구 원일로 57,10348,37.6880472251,126.7690164511
고양시,사립,성실유치원,031-963-5414,031-963-5885,경기도 고양시 덕양구 고양동 407-15번지 성실유치원,경기도 고양시 덕양구 동헌로 387,10273,37.7069879092,126.8951162528
고양시,사립,숲소리유치원,02-371-0300,02-371-0337,경기도 고양시 덕양구 지축동 595-7번지,경기도 고양시 덕양구 일영로 146-1,10584,37.6597435540,126.9201964727
고양시,사립,예쁜나유치원,031-971-9797,031-971-9798,경기도 고양시 덕양구 화정동 988번지 옥빛마을12단지,,10499,37.6332183566,126.8348169233
고양시,사립,예솔유치원,031-902-7526,031-902-7528,경기도 고양시 일산동구 백석동 1436번지,경기도 고양시 일산동구 호수로430번길 37,10424,37.6444629792,126.7806537602
